nom,ref,marque,modele,categorie,co2,nb_km,carburant,boite_vitesse,couleur,nb_portes,nb_places,mise_circulation,conso_mixte,p_fiscale,p_din,critair,prix
Peugeot 208,11911596198131,Peugeot,208,Citadine,A,40854,Diesel,Manuelle,Dark blue,5,5,2017,3.5,4,100,2,12629
Peugeot 208,11911596198132,Peugeot,208,Citadine,A,28295,Diesel,Manuelle,Gris shark,5,5,2017,3.5,4,100,2,14226
Peugeot 208,11911596198133,Peugeot,208,Citadine,A,24196,Diesel,Manuelle,Bleu virtuel,5,5,2017,3.5,4,100,2,14226
Peugeot 208,11911596198134,Peugeot,208,Citadine,A,35755,Diesel,Manuelle,Gris shark,5,5,2017,3.5,4,100,2,13512
Peugeot 208,11911596198135,Peugeot,208,Citadine,A,60826,Diesel,Manuelle,Gris aluminium,5,5,2017,3.5,4,100,2,12594
Peugeot 208,11911596198136,Peugeot,208,Citadine,A,55281,Diesel,Manuelle,Noir perla nera,5,5,2017,3.5,4,100,2,12696
Peugeot 208,11911596198141,Peugeot,208,Citadine,A,33536,Diesel,Manuelle,Noir perla nera,5,5,2017,3.5,4,100,2,13716
Peugeot 208,11911596198142,Peugeot,208,Citadine,A,45673,Diesel,Manuelle,Gris shark,5,5,2017,3.5,4,100,2,13104
Peugeot 208,11911596198143,Peugeot,208,Citadine,A,58072,Diesel,Manuelle,Noir perla nera,5,5,2017,3.5,4,100,2,12594
Peugeot 208,11911596198144,Peugeot,208,Citadine,A,21314,Diesel,Manuelle,Noir perla nera,5,5,2017,3.5,4,100,2,14226
Peugeot 208,11911596198145,Peugeot,208,Citadine,A,32332,Diesel,Manuelle,Bleu virtuel,5,5,2017,3.5,4,100,2,13716
Peugeot 208,11911596198146,Peugeot,208,Citadine,A,46259,Diesel,Manuelle,Noir perla nera,5,5,2017,3.5,4,100,2,13104
Peugeot 208,11911596198147,Peugeot,208,Citadine,A,43458,Diesel,Manuelle,Gris shark,5,5,2017,3.5,4,100,2,13206
