nom,ref,marque,modele,categorie,co2,nb_km,carburant,boite_vitesse,couleur,nb_portes,nb_places,mise_circulation,conso_mixte,p_fiscale,p_din,critair,prix
Renault captur,Réf. pro : 506renvo72642_a200600094 | réf. annonce : e106126019,Renault,Captur,Suv 4x4,B,32931.0,Essence,Manuelle,Beige,5.0,5.0,2016,5.1,5.0,90,1.0,15650
Renault scenic 4,Réf. pro : pe84c1_048188 | réf. annonce : e106262682,Renault,Scenic 4,Monospace,B,37074.0,Diesel,Manuelle,Bleu,5.0,5.0,2019,4.5,7.0,130,2.0,22180
Renault captur,Réf. pro : rqxk_6583 | réf. annonce : e105476778,Renault,Captur,Suv 4x4,A,49617.0,Diesel,Manuelle,Ivoire,5.0,5.0,2018,3.6,4.0,90,2.0,14970
Renault kadjar,Réf. pro : 572renvo165130_p207200217 | réf. annonce : e106059548,Renault,Kadjar,Suv 4x4,C,20728.0,Essence,Manuelle,Bleu,5.0,5.0,2020,5.9,8.0,140,1.0,21980
Renault clio 4,Réf. pro : 0409u0000321 | réf. annonce : e106407068,Renault,Clio 4,Citadine,B,12.0,Essence,Manuelle,Gris foncé,5.0,5.0,2020,5,5.0,90,1.0,15840
Renault scenic 4,Réf. pro : auna_162 | réf. annonce : e106453490,Renault,Scenic 4,Monospace,C,12081.0,Essence,Auto,Noir,5.0,5.0,2019,5.4,9.0,160,1.0,26780
Renault captur,Réf. pro : re36c1_ds1200232 | réf. annonce : e106184478,Renault,Captur,Suv 4x4,C,28544.0,Essence,Manuelle,Gris,5.0,5.0,2020,5.4,5.0,90,1.0,14970
Renault megane 4,Réf. pro : 158266 | réf. annonce : e106381605,Renault,Megane 4,Berline,C,13471.0,Essence,Manuelle,Gris,5.0,5.0,2019,5.5,7.0,140,1.0,21400
Renault megane 4,Réf. pro : 571renvo181278_g197104195 | réf. annonce : e106491687,Renault,Megane 4,Berline,A,34992.0,Diesel,Auto,Gris,5.0,5.0,2020,3.7,5.0,110,2.0,18850
Renault clio 5,Réf. pro : 559renvo173583_i205900105 | réf. annonce : e105893090,Renault,Clio 5,Citadine,A,9520.0,Diesel,Manuelle,Gris,5.0,5.0,2020,3.6,4.0,86,2.0,18890
Renault clio 5,Réf. pro : 571renvo183967_g207101007 | réf. annonce : e106497365,Renault,Clio 5,Citadine,A,30996.0,Diesel,Manuelle,Gris,5.0,5.0,2020,3.6,4.0,86,2.0,18070
Renault kadjar,Réf. pro : 571renvo182708_g207100342 | réf. annonce : e106485092,Renault,Kadjar,Suv 4x4,A,92421.0,Diesel,Auto,Noir,5.0,5.0,2016,3.8,5.0,110,2.0,15380
Renault scenic 4,Réf. pro : 553renvo181107_g205300216 | réf. annonce : e106148241,Renault,Scenic 4,Monospace,C,13856.0,Diesel,Manuelle,Bleu,5.0,5.0,2020,4.8,6.0,120,2.0,27340
Renault clio 4,Réf. pro : 172510 | réf. annonce : e106119937,Renault,Clio 4,Citadine,B,36509.0,Essence,Auto,Gris,5.0,5.0,2017,5.4,6.0,118,1.0,15480
Renault kadjar,Réf. pro : 572renvo165576_p207200452 | réf. annonce : e106216676,Renault,Kadjar,Suv 4x4,B,6367.0,Diesel,Manuelle,Noir,5.0,5.0,2020,4.3,6.0,116,2.0,25040
Renault megane 4,Réf. pro : blp4c1m | réf. annonce : e106486962,Renault,Megane 4,Berline,A,84921.0,Diesel,Auto,Noir,5.0,5.0,2018,3.7,5.0,110,2.0,15420
Renault espace 5,Réf. pro : 0209u0009961 | réf. annonce : e103151603,Renault,Espace 5,Monospace,B,63665.0,Diesel,Manuelle,Noir,5.0,5.0,2017,4.4,7.0,130,2.0,29720
Renault scenic 4,Réf. pro : 595renvo197530_t209500223 | réf. annonce : e106094265,Renault,Scenic 4,Monospace,C,7425.0,Diesel,Auto,Gris,5.0,5.0,2020,4.8,8.0,150,2.0,31900
Renault clio 4,Réf. pro : 180986 | réf. annonce : e106215900,Renault,Clio 4,Citadine,B,23786.0,Essence,Manuelle,Gris,5.0,5.0,2017,4.9,5.0,90,1.0,12610
Renault captur,Réf. pro : jn54c2_26038 | réf. annonce : e106488066,Renault,Captur,Suv 4x4,B,88560.0,Essence,Manuelle,Rouge,5.0,5.0,2017,4.9,5.0,90,1.0,12160
Renault captur,Réf. pro : 506renvo72932_p200600030 | réf. annonce : e106017735,Renault,Captur,Suv 4x4,C,6199.0,Essence,Auto,Blanc,5.0,5.0,2020,5.5,8.0,150,1.0,22030
